department,allocation_ratio,allocation_percent,building_name_allocation,b_code,meter_id,include_in_dashboard,source_sheet
อคม.,0.0,0.0,ท.0019 ชั้นที่ 5 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 5/1,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อคม.,0.0,0.0,ท.0019 ชั้นที่ 5 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 5/2,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อคม.,0.0,0.0,ท.0019 ชั้นที่ 5 อาคารทำการ ชธธ. ระบบเครื่องปรับอากาศ 5,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบย.,0.16666666666666666,16.666666666666664,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ.,T.0019,T.0019__FL01__Main,True,MeterData2569รายเดือน(แยกฝ่าย)
อบย.,0.05,5.0,ท.0014 อาคาร ปฏิบัติการฝ่ายบำรุงรักษาไฟฟ้าและโยธา,T.0014,T.0014__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
อบย.,1.0,100.0,ท.0019 ชั้นที่ 4 อบย.,T.0019,T.0019__FL01__Main,True,MeterData2569รายเดือน(แยกฝ่าย)
อบย.,0.0,0.0,ท.0019 ชั้นที่ 4 อาคารทำการ ชธธ. ระบบแสงสว่าง 4,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบย.,0.0,0.0,ท.0019 ชั้นที่ 4 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 4/1,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบย.,0.0,0.0,ท.0019 ชั้นที่ 4 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 4/2,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบย.,0.0,0.0,ท.0019 ชั้นที่ 4 อาคารทำการ ชธธ. ระบบเครื่องปรับอากาศ 4,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อรอ.,1.0,100.0,ท.0006 อาคาร บริหารอะไหล่กังหันก๊าซ1 อรอ.,T.0006,T.0006__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
อรอ.,1.0,100.0,ท.0008 อาคาร บริหารอะไหล่กังหันก๊าซ2 อรอ.,T.0008,T.0008__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
อรอ.,1.0,100.0,ท.0010 อาคาร ทดสอบเครื่องกล อรอ.,T.0010,T.0010__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
อสร.,0.0,100.0,ต.0015 อาคารโรงซ่อมเครื่องกล อสร.,D.0015,D.0015__FL01__MDB,False,MeterData2569รายเดือน(แยกฝ่าย)
อสร.,0.0,100.0,ท.0025 อาคารเก็บอุปกรณ์ อสร.,T.0025,T.0025__FL01__MDB,False,MeterData2569รายเดือน(แยกฝ่าย)
อหข.,1.0,100.0,ท.0026 อาคารบริหารการขนส่ง,T.0026,T.0026__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
อหข.,1.0,100.0,ท.0027 อาคารปฏิบัติการกองขนส่ง,T.0027,T.0027__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
อหข.,1.0,100.0,ท.0028 อาคารกองซ่อมเครื่องจักรกลและยานพาหนะ 1,T.0028,T.0028__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
อหข.,1.0,100.0,ท.0029 อาคารกองซ่อมเครื่องจักรกลและยานพาหนะ 2,T.0029,T.0029__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
อหข.,1.0,100.0,ต.0031 อาคารโรงอาหาร,D.0031,D.0031__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
อหข.,0.0,0.0,ต.0031 ร้านข้าวแกงคุณเพ็ญศรี,D.0031,D.0031__FL01__MDB,False,MeterData2569รายเดือน(แยกฝ่าย)
อหข.,1.0,100.0,ต.0033 อาคารปฏิบัติการงานเชื่อม,D.0033,D.0033__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
