วันที่เติมน้ำมัน (ตามใบเสร็จ),ฝ่าย1,กอง,แผนก,ประเภทน้ำมัน,จำนวนน้ำมันที่เติม,ราคาน้ำมันที่จ่าย,ทะเบียนรถ,เลขข้างรถ,ยืนยัน
2026-05-28,อบย.,กวย-ธ.,หอย-ธ.,ดีเซล,14.546,600,1นช4031 กทม.,07-12242 ชธธ.,ยืนยัน
2026-05-28,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,43.63,1800,1นก1522 กทม.,07-12272 ชธธ.,ยืนยัน
2026-05-30,ชธธ.,กบคธ-ธ.,หบฟนม-ธ.,ดีเซล,56.345,2300,1นช4054 กทม.,07-12261 ชธธ.,ยืนยัน
2026-06-01,อบฟ.,กบคพ-ธ.,หคอ-ธ.,ดีเซล,61.244,2500,1นช4057 กทม.,07-12263 ชธธ.,ยืนยัน
2026-05-22,อบย.,กคข-ธ.,หตม-ธ.,ดีเซล,56.14,2400,1นช4354 กทม.,07-12298 ชธธ.,ยืนยัน
2026-05-22,อบย.,กคข-ธ.,หตม-ธ.,ดีเซล,28.402,1200,1นช4354 กทม.,07-12298 ชธธ.,ยืนยัน
2026-05-25,อบย.,กคข-ธ.,หตม-ธ.,ดีเซล,51.486,2200,1นช4012 กทม.,07-12227 ชธธ.,ยืนยัน
2026-05-28,อบย.,กคข-ธ.,หตม-ธ.,ดีเซล,48.01,2000,1นช4012 กทม.,07-12227 ชธธ.,ยืนยัน
2026-05-29,อบย.,กคข-ธ.,หตม-ธ.,ดีเซล,38.788,1600,1นช4012 กทม.,07-12227 ชธธ.,ยืนยัน
2026-06-01,อบฟ.,กบคบ.-ธ.,หบฟส.-ธ.,ดีเซล,46.626,1900,1นช4008 กทม.,07-12223 ชธธ.,ยืนยัน
2026-06-01,อบค.,กกอ-ธ,หบก2-ธ,ดีเซล,61.24,2500,1นช4051 กทม,07-12259 ชธธ,ยืนยัน
2026-05-29,อบย.,กบร-ธ.,หบฟ2-ธ.,ดีเซล,37.87,1600,1นช4007 กทม.,07-12222 ชธธ.,ยืนยัน
2026-05-14,อบย.,กบร-ธ.,หบฟ4-ธ.,ดีเซล,61.89,2600,1นช4024 กทม.,07-12236 ชธธ.,ยืนยัน
2026-05-15,อบย.,กบร-ธ.,หบฟ4-ธ.,ดีเซล,47.75,2000,1นช4024 กทม.,07-12236 ชธธ.,ยืนยัน
2026-05-15,อบย.,กบร-ธ.,หบฟ4-ธ.,ดีเซล,28.4,1200,1นช4024 กทม.,07-12236 ชธธ.,ยืนยัน
2026-05-16,อบย.,กบร-ธ.,หบฟ4-ธ.,ดีเซล,38.554,1600,1นช4024 กทม.,07-12236 ชธธ.,ยืนยัน
2026-05-28,อบย.,กบร-ธ.,หบฟ4-ธ.,ดีเซล,50.251,2100,1นช4351 กทม.,07-12295 ชธธ.,ยืนยัน
2026-05-29,อบย.,กบร-ธ.,หบฟ4-ธ.,ดีเซล,55.037,2300,1นช4351 กทม.,07-12295 ชธธ.,ยืนยัน
2026-05-30,อบย.,กบร-ธ.,หบฟ4-ธ.,ดีเซล,49.14,2000,1นช4351 กทม.,07-12295 ชธธ.,ยืนยัน
2026-06-01,อบค.,กฟนม-ธ.,หบนม-ธ.,ดีเซล,46.62,1900,1นช4065 กทม.,07-12269 ชธธ.,ยืนยัน
2026-06-02,อบฟ.,กบคพ-ธ.,หคมก-ธ.,ดีเซล,60.59,2500,1นช4349 กทม.,07-12293 ชธธ.,ยืนยัน
2026-06-02,อคม.,กคค-ธ.,หปค-ธ.,ดีเซล,51.0,2100,1นช4012 กทม.,07-12227 ชธธ.,ยืนยัน
2026-06-03,อบฟ.,กบกม-ธ.,หกฟ-ธ.,ดีเซล,53.346,2200,1นช4064 กทม.,07-12268 ชธธ.,ยืนยัน
2026-06-02,อบค.,กกอ-ธ.,หบก2-ธ.,ดีเซล,36.747,1500,1นช4035 กทม.,07-12246 ชธธ,ยืนยัน
2026-06-03,อคม.,กคค-ธ.,หปค-ธ.,ดีเซล,58.437,2400,1นช4012 กทม,07-12227 ชธธ.,ยืนยัน
2026-06-01,อบค.,กมน-ธ.,หชน-ธ.,ดีเซล,62.954,2600,1นช4056 กทม,07-12262 ชธธ.,ยืนยัน
2026-06-03,อบค.,กมน-ธ.,หชน-ธ.,ดีเซล,57.94,2400,1นช4056 กทม.,07-12262 ชธธ.,ยืนยัน
2026-06-03,อบค.,กมน-ธ.,หชน-ธ.,ดีเซล,14.723,600,1นช4056 กทม,07-12262 ชธธ.,ยืนยัน
2026-05-27,อบย.,กวย-ธ.,หอย-ธ.,ดีเซล,46.06,1900,1นช4079 กทม.,07-12277 ชธธ.,ยืนยัน
2026-06-04,อบค.,กมน- ธ.,หชน-ธ.,ดีเซล,40.91,1700,1นช4056 กทม,07-12262 ชธธ.,ยืนยัน
2026-05-19,ชธธ.,กบคธ-ธ.,หบฟรร-ธ.,ดีเซล,46.97,2000,1นญ7099 กทม.,07-12696 พน.,ยืนยัน
2026-06-02,อบฟ.,กบคพ-ธ.,หคมก-ธ.,ดีเซล,61.244,2500,1นช4353 กทม.,07-12297 ชธธ.,ยืนยัน
2026-05-27,ชธธ.,กบคธ-ธ.,หบฟรร-ธ.,ดีเซล,48.1,2000,1นญ7099 กทม.,07-12696 พน.,ยืนยัน
2026-06-02,อบฟ.,กททอ.,หทอส.,ดีเซล,48.61,2000,3ฒบ2016 กทม.,07-10807 บค.,ยืนยัน
2026-06-03,อบฟ.,กททอ.,หทอส.,ดีเซล,39.264,1600,3ฒบ2016 กทม.,07-10807 บค.,ยืนยัน
2026-06-02,ชธธ.,กบคธ-ธ.,หบฟรร-ธ.,ดีเซล,48.68,2000,1นญ7099 กทม.,07-12696 พน.,ยืนยัน
2026-06-03,ชธธ.,กบคธ-ธ.,หบฟรร-ธ.,ดีเซล,48.9,2000,1นญ7099 กทม.,07-12696 พน.,ยืนยัน
2026-05-25,อบย.,กคข-ธ.,หตม-ธ.,ดีเซล,49.23,2100,1นช4024 กทม.,07-12236 ชธธ.,ยืนยัน
2026-05-28,อบย.,กคข-ธ.,หตม-ธ.,ดีเซล,55.33,2300,1นช4024 กทม.,07-12236 ชธธ.,ยืนยัน
2026-05-29,อบย.,กคข-ธ.,หตม-ธ.,ดีเซล,36.36,1500,1นช4024 กทม.,07-12236 ชธธ.,ยืนยัน
2026-05-27,ชธธ.,กบคธ-ธ.,หบฟรร-ธ.,ดีเซล,57.15,2400,1นช4082 กทม.,07-12280 ชธธ.,ยืนยัน
2026-05-28,ชธธ.,กบคธ-ธ.,หบฟรร-ธ.,ดีเซล,60.314,2500,1นช4082 กทม.,07-12280 ชธธ.,ยืนยัน
2026-06-01,อบฟ.,กบกม-ธ.,หรคฟ-ธ.,ดีเซล,60.59,2500,1นช4091 กทม.,07-12288 ชธธ.,ยืนยัน
2026-06-04,อบฟ.,กบกม-ธ.,หกฟ-ธ.,ดีเซล,48.065,2000,1นช4067 กทม.,07-12271 ชธธ.,ยืนยัน
2026-06-05,อบค.,กกอ-ธ.,หบก2-ธ.,ดีเซล,45.651,1900,1นช4035 กทม.,07-12246 ชธธ.,ยืนยัน
2026-06-05,อบค.,กกห-ธ.,หบด1-ธ.,ดีเซล,55.26,2300,1นช4017 กทม.,07-12230 ชธธ.,ยืนยัน
2026-06-04,อบค.,กกห-ธ.,หบด1-ธ.,ดีเซล,40.846,1700,1นช​4034​ กทม.,07-12245 ชธธ.,ยืนยัน
2026-06-05,ชธธ.,กบคธ-ธ.,หบฟนม-ธ.,ดีเซล,41.62,2400,1นช4054 กทม.,07-12261 ชธธ.,ยืนยัน
2026-06-05,อบค.,กกห-ธ.,หบด1-ธ.,ดีเซล,40.846,1700,1​นช​4034​ กทม.,07-12245​ ชธธ.,ยืนยัน
2026-06-05,อบฟ.,กททอ-ธ.,หทอฟ-ธ.,ดีเซล,59.44,2500,1นช4024 กทม.,07-12236 ชธธ.,ยืนยัน
2026-06-05,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,48.13,2000,นง6367 กทม.,02-0039 ชธธ.,ยืนยัน
2026-06-05,อบฟ.,วมสวช,ทสวก-ธ.,ดีเซล,16.847,700,1นช4023 กทม.,07-12235 ชธธ.,ยืนยัน
2026-06-06,อบฟ.,กททอ-ธ.,หทอฟ-ธ.,ดีเซล,64.982,2700,1นช4346 กทม.,07-12292 ชธธ.,ยืนยัน
2026-06-05,อบฟ.,กบกม-ธ.,หกฟ-ธ.,ดีเซล,36.101,1500,1นช4067 กทม.,07-12271 ชธธ.,ยืนยัน
2026-06-05,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,40.91,1700,1นค1522 กทม.,07-12272 ชธธ.,ยืนยัน
2026-06-03,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,62.74,2600,1นค1522 กทม.,07-12272 ชธธ.,ยืนยัน
2026-06-05,อบฟ.,กบกม-ธ.,หกฟ-ธ.,ดีเซล,62.19,2600,1นช4018 กทม.,07-12231 ชธธ.,ยืนยัน
2026-06-04,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,59.62,2500,1นค1522 กทม.,07-12272 ชธธ.,ยืนยัน
2026-06-04,อบฟ.,กบกม-ธ.,หรคฟ-ธ.,ดีเซล,59.44,2500,1นช4065 กทม.,07-12269 ชธธ.,ยืนยัน
2026-06-05,อบฟ.,กททอ-ธ.,หทอฟ-ธ.,ดีเซล,14.44,600,1นช4011 กทม,07-12226 ชธธ.,ยืนยัน
2026-06-05,อบฟ.,กบกม-ธ.,หรคฟ-ธ.,ดีเซล,60.16,2500,1นช4065 กทม.,07-12269 ชธธ.,ยืนยัน
2026-06-05,อบฟ.,กททอ-ธ.,หทอฟ-ธ.,ดีเซล,61.846,2600,1นช4008 กทม.,07-12223 ชธธ.,ยืนยัน
2026-06-04,อบค.,กกอ.,หปก2.,ดีเซล,24.067,1000,3ฒบ2016 กทม,07-10807 บค.,ยืนยัน
2026-06-05,อบฟ.,กบกม-ธ.,หมฟ-ธ.,ดีเซล,24.067,1000,1นช4056 กทม.,07-12262 ชธธ.,ยืนยัน
2026-06-05,อบค.,กกห-ธ.,หบด1-ธ.,ดีเซล,45.65,1900,1นช4045 กทม.,07-12254 ชธธ.,ยืนยัน
2026-06-05,อบค.,กมน-ธ.,หบน1-ธ.,ดีเซล,36.08,1500,1นช4007 กทม.,07-12222 ชธธ.,ยืนยัน
2026-06-06,อบฟ.,กบคพ-ธ.,หคอ-ธ.,ดีเซล,53.763,2200,1นช4057 กทม. ,07-12263 ชธธ.,ยืนยัน
2026-06-06,อบค.,กมน-ธ.,หบน1-ธ.,ดีเซล,48.9,2000,1นช4079 กทม.,07-12277 ชธธ.,ยืนยัน
2026-06-02,อบฟ.,กบดพ-ธ,หบฟม-ธ.,ดีเซล,36.58,1500,1นช4089 กทม,07-12286 ชธธ.,ยืนยัน
